Let	NP	Let
the	DT	the
second	NN	second
is	VBZ	be
to	TO	to
-	NN	-
-	NN	-
the	DT	the
Palestinian	JJ	Palestinian
&	CC	&
nbsp	JJ	nbsp
;	:	;
authority	NN	authority
has	VHZ	have
unfortunately	RB	unfortunately
failed	VVN	fail
on	IN	on
both	CC	both
[	SYM	[
9	CD	@card@
:	:	:
13	CD	@card@
:	:	:
52	NP	@card@
AM	NP	AM
]	SYM	]
has	VHZ	have
unfortunately	RB	unfortunately
failed	VVN	fail
on	IN	on
both	DT	both
counts	NNS	count
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
They	PP	they
don	VVP	don
'	''	'
t	NN	t
demilitarize	VV	demilitarize
the	DT	the
west	JJ	west
bank	NN	bank
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
We	PP	we
have	VHP	have
to	TO	to
do	VV	do
it	PP	it
.	SENT	.
We	PP	we
have	VHP	have
to	TO	to
fight	VV	fight
the	DT	the
&	CC	&
nbsp	NN	nbsp
;	:	;
terrorists	NNS	terrorist
.	SENT	.
They	PP	they
don	VVP	don
'	''	'
t	NN	t
deradical	JJ	deradical
lies	NNS	lie
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
teach	VV	teach
children	NNS	child
the	DT	the
hate	NN	hate
red	NN	red
of	IN	of
Israel	NP	Israel
,	,	,
they	PP	they
&	CC	&
nbsp	NN	nbsp
;	:	;
pay	VV	pay
for	IN	for
laefs	NNS	laefs
,	,	,
the	DT	the
more	JJR	more
Jews	NNS	jew
they	PP	they
kill	VVP	kill
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
more	RBR	more
they	PP	they
pay	VVP	pay
.	SENT	.
They	PP	they
refuse	VVP	refuse
to	TO	to
this	DT	this
day	NN	day
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
36	CD	@card@
days	NNS	day
after	IN	after
this	DT	this
savagery	NN	savagery
,	,	,
to	TO	to
condemn	VV	condemn
what	WP	what
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
hamas	NNS	hamas
did	VVD	do
on	IN	on
October	NP	October
7th	JJ	7th
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
If	IN	if
not	RB	not
the	DT	the
P	NN	P
.	SENT	.
A	DT	a
.	SENT	.
-	NN	-
-	NN	-
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
There	EX	there
has	VHZ	have
to	TO	to
be	VB	be
a	DT	a
reconstructed	JJ	reconstructed
civilian	NN	civilian
&	CC	&
nbsp	NN	nbsp
;	:	;
authority	NN	authority
.	SENT	.
There	EX	there
has	VHZ	have
to	TO	to
be	VB	be
something	NN	something
else	RB	else
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Otherwise	RB	otherwise
we	PP	we
'	POS	'
re	NN	re
just	RB	just
falling	VVG	fall
into	IN	into
that	DT	that
same	JJ	same
&	CC	&
nbsp	JJ	nbsp
;	:	;
rabbit	NN	rabbit
hole	NN	hole
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
have	VH	have
the	DT	the
same	JJ	same
&	CC	&
nbsp	JJ	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
result	NN	result
.	SENT	.
Remember	VV	remember
the	DT	the
P	NN	P
.	SENT	.
A	DT	a
.	SENT	.
Was	VBD	be
already	RB	already
in	IN	in
gaza	NN	gaza
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
When	WRB	when
Israel	NP	Israel
left	VVD	leave
gaza	NN	gaza
,	,	,
it	PP	it
handed	VVD	hand
the	DT	the
keys	NNS	key
over	IN	over
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
to	TO	to
P	NN	P
.	SENT	.
A	DT	a
.	SENT	.
Within	IN	within
a	DT	a
very	RB	very
short	JJ	short
time	NN	time
hamas	NNS	hamas
took	VVD	take
&	CC	&
nbsp	NN	nbsp
;	:	;
over	RB	over
,	,	,
kicked	VVD	kick
them	PP	them
out	RP	out
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
not	RB	not
willing	JJ	willing
to	TO	to
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
fight	NN	fight
hamas	NNS	hamas
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
still	RB	still
not	RB	not
willing	JJ	willing
to	TO	to
fight	VV	fight
&	CC	&
nbsp	NN	nbsp
;	:	;
hamas	NN	hamas
.	SENT	.
You	PP	you
have	VHP	have
to	TO	to
have	VH	have
some	DT	some
kind	NN	kind
of	IN	of
authority	NN	authority
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
civilian	JJ	civilian
,	,	,
Palestinian	JJ	Palestinian
authority	NN	authority
that	IN/that	that
&	CC	&
nbsp	NN	nbsp
;	:	;
is	VBZ	be
willing	JJ	willing
to	TO	to
fight	VV	fight
the	DT	the
terrorists	NNS	terrorist
and	CC	and
[	SYM	[
9	CD	@card@
:	:	:
14	CD	@card@
:	:	:
53	NP	@card@
AM	NP	AM
]	SYM	]
fight	VV	fight
the	DT	the
terrorists	NNS	terrorist
and	CC	and
educating	VVG	educate
-	NN	-
-	NN	-
&	CC	&
nbsp	NN	nbsp
;	:	;
important	JJ	important
LI	NP	Li
must	MD	must
educate	VV	educate
the	DT	the
children	NNS	child
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
for	IN	for
a	DT	a
fewer	JJR	few
of	IN	of
peace	NN	peace
,	,	,
peace	NN	peace
,	,	,
cooperation	NN	cooperation
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
prosperity	NN	prosperity
.	SENT	.
Cooperation	NN	cooperation
with	IN	with
Israel	NP	Israel
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
not	RB	not
the	DT	the
annihilation	NN	annihilation
of	IN	of
israelment	NN	israelment
so	RB	so
&	CC	&
nbsp	NN	nbsp
;	:	;
far	RB	far
that	DT	that
hasn	NN	hasn
'	POS	'
t	NN	t
happened	VVD	happen
.	SENT	.
The	DT	the
burden	NN	burden
of	IN	of
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
proof	NN	proof
is	VBZ	be
on	IN	on
the	DT	the
P	NN	P
.	SENT	.
A	DT	a
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
ve	NN	ve
failed	VVD	fail
every	DT	every
&	CC	&
nbsp	NN	nbsp
;	:	;
single	JJ	single
time	NN	time
.	SENT	.
I	PP	I
say	VVP	say
that	IN/that	that
regrettably	RB	regrettably
.	SENT	.
Honestly	RB	honestly
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
we	PP	we
have	VHP	have
to	TO	to
be	VB	be
realistic	JJ	realistic
about	IN	about
what	WP	what
we	PP	we
expect	VVP	expect
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
We	PP	we
can	MD	can
'	''	'
t	NN	t
fall	NN	fall
back	RB	back
on	IN	on
formulas	NNS	formula
that	IN/that	that
failment	NN	failment
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
we	PP	we
have	VHP	have
to	TO	to
succeed	VV	succeed
,	,	,
to	TO	to
succeed	VV	succeed
to	TO	to
give	VV	give
gaza	NN	gaza
a	DT	a
&	CC	&
nbsp	JJ	nbsp
;	:	;
better	JJR	good
future	NN	future
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	s
not	RB	not
bring	VVP	bring
it	PP	it
to	TO	to
a	DT	a
failed	JJ	failed
&	CC	&
nbsp	JJ	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
past	JJ	past
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	s
create	VVP	create
a	DT	a
different	JJ	different
reality	NN	reality
there	RB	there
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Prime	NP	Prime
minister	NN	minister
Netanyahu	NP	Netanyahu
,	,	,
before	IN	before
I	PP	I
let	VVP	let
you	PP	you
go	VVP	go
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
I	PP	I
know	VVP	know
you	PP	you
'	''	'
ve	RB	ve
been	VBN	be
asked	VVN	ask
this	DT	this
several	JJ	several
times	NNS	time
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
but	CC	but
I	PP	I
have	VHP	have
had	VHD	have
multiple	JJ	multiple
people	NNS	people
inside	IN	inside
Israel	NP	Israel
&	CC	&
nbsp	NP	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
reach	VV	reach
out	RP	out
to	TO	to
me	PP	me
knowing	VVG	know
that	IN/that	that
I	PP	I
was	VBD	be
going	VVG	go
to	TO	to
&	CC	&
nbsp	NN	nbsp
;	:	;
interview	VV	interview
you	PP	you
and	CC	and
say	VVP	say
the	DT	the
one	CD	one
thing	NN	thing
they	PP	they
want	VVP	want
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
to	TO	to
hear	VV	hear
from	IN	from
you	PP	you
is	VBZ	be
that	IN/that	that
you	PP	you
take	VVP	take
personal	JJ	personal
&	CC	&
nbsp	JJ	nbsp
;	:	;
responsibility	NN	responsibility
for	IN	for
failing	VVG	fail
to	TO	to
prevent	VV	prevent
the	DT	the
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
October	NP	October
7th	JJ	7th
attacks	NNS	attack
and	CC	and
protecting	VVG	protect
your	PP$	your
people	NNS	people
.	SENT	.
I	PP	I
&	CC	&
nbsp	NN	nbsp
;	:	;
know	VVP	know
you	PP	you
say	VVP	say
the	DT	the
time	NN	time
for	IN	for
that	WDT	that
will	MD	will
come	VV	come
after	IN	after
the	DT	the
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
war	NN	war
.	SENT	.
Why	WRB	why
won	VVN	win
'	''	'
t	NN	t
you	PP	you
take	VVP	take
responsibility	NN	responsibility
now	RB	now
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
I	PP	I
'	POS	'
ve	NN	ve
already	RB	already
addressed	VVD	address
that	IN/that	that
many	JJ	many
times	NNS	time
.	SENT	.
[	SYM	[
9	CD	@card@
:	:	:
15	CD	@card@
:	:	:
54	NP	@card@
AM	NP	AM
]	SYM	]
many	JJ	many
times	NNS	time
.	SENT	.
And	CC	and
I	PP	I
said	VVD	say
this	DT	this
whole	NN	whole
&	CC	&
nbsp	NN	nbsp
;	:	;
question	NN	question
will	MD	will
be	VB	be
addressed	VVN	address
after	IN	after
the	DT	the
war	NN	war
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Why	WRB	why
not	RB	not
now	RB	now
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Well	UH	well
,	,	,
did	VVD	do
people	NNS	people
ask	VV	ask
Franklin	NP	Franklin
Roosevelt	NP	Roosevelt
&	CC	&
nbsp	NP	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
after	IN	after
pearl	JJ	pearl
harbor	NN	harbor
that	DT	that
question	NN	question
?	SENT	?
Did	VVD	do
people	NNS	people
ask	VV	ask
&	CC	&
nbsp	NN	nbsp
;	:	;
George	NP	George
Bush	NP	Bush
after	IN	after
the	DT	the
surprise	NN	surprise
attack	NN	attack
of	IN	of
November	NP	November
&	CC	&
nbsp	NP	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
11th	JJ	11th
?	SENT	?
It	PP	it
'	POS	'
s	NNS	s
a	DT	a
yes	NN	yes
that	WDT	that
needs	VVZ	need
to	TO	to
be	VB	be
asked	VVN	ask
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
The	DT	the
question	NN	question
has	VHZ	have
been	VBN	be
asked	VVN	ask
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
I	PP	I
'	POS	'
ve	NN	ve
said	VVD	say
the	DT	the
one	CD	one
thing	NN	thing
that	WDT	that
is	VBZ	be
important	JJ	important
&	CC	&
nbsp	JJ	nbsp
;	:	;
-	NN	-
-	NN	-
I	NP	I
'	POS	'
ve	NN	ve
said	VVD	say
we	PP	we
'	''	'
re	IN	re
going	VVG	go
to	TO	to
answer	VV	answer
all	PDT	all
these	DT	these
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
questions	NNS	question
including	VVG	include
I	PP	I
'	POS	'
m	NN	m
going	VVG	go
to	TO	to
be	VB	be
asked	VVN	ask
tough	JJ	tough
&	CC	&
nbsp	JJ	nbsp
;	:	;
questions	NNS	question
.	SENT	.
I	PP	I
think	VVP	think
right	RB	right
now	RB	now
what	WP	what
we	PP	we
have	VHP	have
to	TO	to
do	VV	do
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
is	VBZ	be
unite	VV	unite
the	DT	the
country	NN	country
for	IN	for
one	CD	one
purpose	NN	purpose
,	,	,
one	CD	one
purpose	NN	purpose
&	CC	&
nbsp	NN	nbsp
;	:	;
alone	RB	alone
.	SENT	.
That	IN/that	that
'	POS	'
s	NN	S
to	TO	to
achieve	VV	achieve
victory	NN	victory
.	SENT	.
That	IN/that	that
'	''	'
s	NNS	s
what	WP	what
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
we	PP	we
did	VVD	do
.	SENT	.
We	PP	we
formed	VVD	form
a	DT	a
unity	NN	unity
government	NN	government
,	,	,
the	DT	the
&	CC	&
nbsp	NN	nbsp
;	:	;
country	NN	country
is	VBZ	be
June	NP	June
nighted	VVD	nighted
as	RB	as
never	RB	never
before	RB	before
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
That	DT	that
'	''	'
s	NNS	s
what	WP	what
we	PP	we
have	VHP	have
to	TO	to
pursue	VV	pursue
.	SENT	.
What	WP	what
the	DT	the
people	NNS	people
&	CC	&
nbsp	NN	nbsp
;	:	;
expect	VVP	expect
me	PP	me
to	TO	to
do	VV	do
right	RB	right
now	RB	now
is	VBZ	be
two	CD	two
things	NNS	thing
.	SENT	.
One	CD	one
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
achieve	VV	achieve
the	DT	the
victory	NN	victory
and	CC	and
bring	VV	bring
the	DT	the
hostages	NNS	hostage
back	RB	back
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
Second	RB	second
,	,	,
make	VV	make
sure	RB	sure
that	DT	that
gaza	NN	gaza
never	RB	never
becomes	VVZ	become
-	NN	-
-	NN	-
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NP	gt
;	:	;
Israelis	NPS	Israelis
are	VBP	be
disappointed	VVN	disappoint
that	IN/that	that
you	PP	you
&	CC	&
nbsp	NN	nbsp
;	:	;
won	NN	won
'	POS	'
t	NN	t
take	VV	take
responsibility	NN	responsibility
,	,	,
you	PP	you
said	VVD	say
?	SENT	?
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
I	PP	I
said	VVD	say
I	PP	I
'	''	'
ll	NNS	ll
answer	VVP	answer
all	PDT	all
the	DT	the
&	CC	&
nbsp	NN	nbsp
;	:	;
questions	NNS	question
required	VVN	require
,	,	,
including	VVG	include
[	SYM	[
9	CD	@card@
:	:	:
16	CD	@card@
:	:	:
55	NP	@card@
AM	NP	AM
]	SYM	]
questions	VVZ	question
required	VVN	require
,	,	,
including	VVG	include
the	DT	the
questions	NNS	question
of	IN	of
&	CC	&
nbsp	NN	nbsp
;	:	;
responsibility	NN	responsibility
.	SENT	.
There	EX	there
will	MD	will
be	VB	be
enough	JJ	enough
time	NN	time
for	IN	for
