than	IN	than
Arrangements	NNS	arrangement
burden	NN	burden
sharing	NN	sharing
and	CC	and
human	JJ	human
rights	NNS	right
compliance	NN	compliance
this	DT	this
resolution	NN	resolution
may	MD	may
be	VB	be
properly	RB	properly
implemented	VVN	implement
and	CC	and
bring	VV	bring
the	DT	the
intended	VVN	intend
and	CC	and
desired	VVN	desire
impact	NN	impact
significantly	RB	significantly
this	DT	this
framework	NN	framework
resolution	NN	resolution
reaffirms	VVZ	reaffirm
the	DT	the
commitment	NN	commitment
of	IN	of
taking	VVG	take
effective	JJ	effective
steps	NNS	step
to	TO	to
advance	VV	advance
the	DT	the
partnership	NN	partnership
between	IN	between
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
the	DT	the
African	JJ	African
Union	NN	union
in	IN	in
line	NN	line
with	IN	with
chapter	NN	chapter
seven	CD	seven
chapter	NN	chapter
eight	CD	eight
of	IN	of
the	DT	the
of	IN	of
the	DT	the
charter	NN	charter
this	DT	this
commitment	NN	commitment
extends	VVZ	extend
to	TO	to
building	VVG	build
Greater	NP	Greater
Regional	NP	Regional
and	CC	and
National	NP	National
ownership	NN	ownership
while	IN	while
emphasizing	VVG	emphasize
the	DT	the
pital	JJ	pital
role	NN	role
of	IN	of
the	DT	the
security	NN	security
Council	NN	council
in	IN	in
maintaining	VVG	maintain
International	NP	International
Peace	NP	Peace
and	CC	and
security	NN	security
while	IN	while
more	JJR	more
clarity	NN	clarity
and	CC	and
predictability	NN	predictability
on	IN	on
the	DT	the
burden	NN	burden
sharing	NN	sharing
of	IN	of
the	DT	the
part	NN	part
of	IN	of
the	DT	the
financing	NN	financing
that	WDT	that
will	MD	will
not	RB	not
or	CC	or
may	MD	may
not	RB	not
be	VB	be
covered	VVN	cover
by	IN	by
the	DT	the
assessed	VVN	assess
contributions	NNS	contribution
will	MD	will
be	VB	be
needed	VVN	need
we	PP	we
believe	VVP	believe
nonetheless	RB	nonetheless
that	IN/that	that
this	DT	this
decision	NN	decision
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
consequential	JJ	consequential
ones	NNS	one
taken	VVN	take
since	IN	since
years	NNS	year
with	IN	with
an	DT	an
expected	VVN	expect
important	JJ	important
impact	NN	impact
in	IN	in
crucial	JJ	crucial
matters	NNS	matter
for	IN	for
peace	NN	peace
and	CC	and
Security	NN	security
in	IN	in
Africa	NP	Africa
and	CC	and
Beyond	NP	Beyond
and	CC	and
I	NP	I
you	PP	you
the	DT	the
representative	NN	representative
of	IN	of
Albania	NP	Albania
for	IN	for
his	PP$	his
to	TO	to
the	DT	the
representative	NN	representative
of	IN	of
Switzerland	NP	Switzerland
thank	VV	thank
you	PP	you
Mr	NP	Mr
President	NP	President
we	PP	we
welcome	VVP	welcome
the	DT	the
unanimous	JJ	unanimous
adoption	NN	adoption
of	IN	of
the	DT	the
draft	NN	draft
resolution	NN	resolution
Switzerland	NP	Switzerland
would	MD	would
like	VV	like
to	TO	to
thank	VV	thank
G	NP	G
and	CC	and
M	NP	M
for	IN	for
their	PP$	their
efforts	NNS	effort
during	IN	during
the	DT	the
negotiation	NN	negotiation
process	NN	process
for	IN	for
the	DT	the
draft	NN	draft
resolution	NN	resolution
on	IN	on
the	DT	the
financing	NN	financing
African	JJ	African
L	NP	L
peace	NN	peace
support	NN	support
operations	NNS	operation
this	DT	this
process	NN	process
began	VVD	begin
in	IN	in
May	NP	May
under	IN	under
the	DT	the
Swiss	JJ	Swiss
presidency	NN	presidency
of	IN	of
the	DT	the
council	NN	council
during	IN	during
which	WDT	which
we	PP	we
discussed	VVD	discuss
the	DT	the
secretary	NN	secretary
General	NP	General
'	POS	'
s	JJ	s
report	NN	report
on	IN	on
the	DT	the
subject	NN	subject
and	CC	and
it	PP	it
'	POS	'
s	NN	S
an	DT	an
important	JJ	important
step	NN	step
for	IN	for
the	DT	the
new	JJ	new
agenda	NN	agenda
for	IN	for
peace	NN	peace
from	IN	from
the	DT	the
outs	NNS	out
welcome	VVP	welcome
the	DT	the
three	CD	three
Initiative	NP	Initiative
for	IN	for
a	DT	a
new	JJ	new
Council	NP	Council
decision	NN	decision
to	TO	to
ensure	VV	ensure
predictable	JJ	predictable
sustainable	JJ	sustainable
and	CC	and
flexible	JJ	flexible
Au	NP	Au
Le	NP	Le
peace	NN	peace
support	NN	support
operations	NNS	operation
to	TO	to
fulfill	VV	fulfill
their	PP$	their
mandates	NNS	mandate
peacekeeping	VVG	peacekeepe
missions	NNS	mission
must	MD	must
be	VB	be
able	JJ	able
to	TO	to
rely	VV	rely
on	IN	on
funding	VVG	fund
this	DT	this
also	RB	also
applies	VVZ	apply
to	TO	to
African	NP	African
authorized	VVN	authorize
by	IN	by
this	DT	this
Council	NP	Council
Switzerland	NP	Switzerland
has	VHZ	have
consistently	RB	consistently
worked	VVN	work
to	TO	to
achieve	VV	achieve
this	DT	this
in	IN	in
2018	CD	@card@
when	WRB	when
the	DT	the
council	NN	council
had	VHD	have
already	RB	already
considered	VVN	consider
this	DT	this
issue	NN	issue
it	PP	it
co	NP	Co
-	NN	-
sponsored	VVD	sponsor
the	DT	the
draft	NN	draft
resolution	NN	resolution
we	PP	we
also	RB	also
done	VVN	do
so	IN	so
today	NN	today
with	IN	with
the	DT	the
draft	NN	draft
proposed	VVN	propose
by	IN	by
the	DT	the
a	DT	a
during	IN	during
negotiations	NNS	negotiation
Switzerland	NP	Switzerland
was	VBD	be
Keen	NP	Keen
to	TO	to
show	VV	show
its	PP$	its
support	NN	support
and	CC	and
play	VV	play
a	DT	a
constructive	JJ	constructive
role	NN	role
in	IN	in
this	DT	this
negotiation	NN	negotiation
process	NN	process
aiming	VVG	aim
to	TO	to
promote	VV	promote
conciliation	NN	conciliation
between	IN	between
positions	NNS	position
this	DT	this
resolution	NN	resolution
recognizes	VVZ	recognize
the	DT	the
significant	JJ	significant
contributions	NNS	contribution
of	IN	of
the	DT	the
African	JJ	African
Union	NN	union
to	TO	to
the	DT	the
maintenance	NN	maintenance
of	IN	of
International	NP	International
Peace	NP	Peace
and	CC	and
security	NN	security
on	IN	on
the	DT	the
continent	NN	continent
it	PP	it
also	RB	also
recognizes	VVZ	recognize
the	DT	the
significant	JJ	significant
progress	NN	progress
and	CC	and
efforts	NNS	effort
of	IN	of
the	DT	the
African	JJ	African
Union	NN	union
in	IN	in
integrating	VVG	integrate
and	CC	and
implementing	VVG	implement
international	JJ	international
human	JJ	human
rights	NNS	right
law	NN	law
international	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
and	CC	and
standards	NNS	standard
of	IN	of
conduct	NN	conduct
and	CC	and
discipline	NN	discipline
we	PP	we
now	RB	now
invite	VV	invite
all	DT	all
parties	NNS	party
to	TO	to
contribute	VV	contribute
to	TO	to
the	DT	the
best	JJS	good
of	IN	of
their	PP$	their
ability	NN	ability
to	TO	to
the	DT	the
implementation	NN	implementation
of	IN	of
this	DT	this
framework	NN	framework
resolution	NN	resolution
in	IN	in
particular	NN	particular
we	PP	we
appeal	VVP	appeal
to	TO	to
everyone	NN	everyone
'	POS	'
s	JJ	s
willingness	NN	willingness
to	TO	to
find	VV	find
compromises	NNS	compromise
for	IN	for
future	JJ	future
negotiations	NNS	negotiation
on	IN	on
a	DT	a
caseby	JJ	caseby
Case	NN	case
basis	NN	basis
this	DT	this
is	VBZ	be
a	DT	a
decisive	JJ	decisive
step	NN	step
for	IN	for
the	DT	the
future	NN	future
of	IN	of
African	NP	African
Union	NP	Union
Le	NP	Le
peace	NN	peace
support	NN	support
operations	NNS	operation
and	CC	and
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
model	NN	model
for	IN	for
other	JJ	other
organizations	NNS	organization
and	CC	and
this	DT	this
is	VBZ	be
done	VVN	do
to	TO	to
promote	VV	promote
peace	NN	peace
and	CC	and
security	NN	security
on	IN	on
the	DT	the
continent	NN	continent
I	PP	I
thank	VVP	thank
you	PP	you
thank	VVP	thank
the	DT	the
representative	NN	representative
of	IN	of
Switzerland	NP	Switzerland
for	IN	for
her	PP$	her
statement	NN	statement
and	CC	and
I	PP	I
give	VVP	give
the	DT	the
floor	NN	floor
to	TO	to
the	DT	the
representative	NN	representative
of	IN	of
China	NP	China
Mr	NP	Mr
President	NP	President
China	NP	China
welcomes	VVZ	welcome
the	DT	the
unanimous	JJ	unanimous
adoption	NN	adoption
of	IN	of
the	DT	the
trough	NN	trough
resolution	NN	resolution
submitted	VVN	submit
by	IN	by
A3	NP	A3
at	IN	at
the	DT	the
security	NN	security
Council	NP	Council
China	NP	China
voted	VVD	vote
in	IN	in
favor	NN	favor
of	IN	of
the	DT	the
draft	NN	draft
text	NN	text
and	CC	and
co	NN	Co
-	NNS	-
sponsor	VVP	sponsor
the	DT	the
draft	NN	draft
resolution	NN	resolution
over	IN	over
the	DT	the
years	NNS	year
the	DT	the
African	JJ	African
Union	NP	Union
and	CC	and
the	DT	the
African	JJ	African
sub	NN	sub
Regional	JJ	regional
organizations	NNS	organization
have	VHP	have
been	VBN	be
actively	RB	actively
carrying	VVG	carry
out	RP	out
autonomous	JJ	autonomous
peacekeeping	VVG	peacekeepe
operations	NNS	operation
and	CC	and
made	VVN	make
great	JJ	great
contributions	NNS	contribution
and	CC	and
sacrifices	NNS	sacrifice
to	TO	to
maintain	VV	maintain
stability	NN	stability
and	CC	and
silence	NN	silence
for	IN	for
guns	NNS	gun
in	IN	in
Africa	NP	Africa
Le	NP	Le
resolution	NN	resolution
supports	VVZ	support
the	DT	the
consideration	NN	consideration
by	IN	by
the	DT	the
secret	JJ	secret
Council	NN	council
as	IN	as
requested	VVN	request
by	IN	by
the	DT	the
Au	FW	Au
on	IN	on
the	DT	the
case	NN	case
by	IN	by
case	NN	case
basis	NN	basis
of	IN	of
the	DT	the
financing	NN	financing
of	IN	of
a	DT	a
support	NN	support
operations	NNS	operation
from	IN	from
the	DT	the
UN	NP	UN
assess	VVP	assess
contributions	NNS	contribution
this	DT	this
will	MD	will
help	VV	help
address	VV	address
the	DT	the
issue	NN	issue
of	IN	of
funding	NN	funding
which	WDT	which
has	VHZ	have
been	VBN	be
of	IN	of
concern	NN	concern
to	TO	to
African	JJ	African
countries	NNS	country
for	IN	for
many	JJ	many
years	NNS	year
and	CC	and
will	MD	will
help	VV	help
to	TO	to
deepen	VV	deepen
cooperation	NN	cooperation
between	IN	between
the	DT	the
and	CC	and
Au	NP	Au
I	NP	I
'	POS	'
d	NN	d
like	VVP	like
to	TO	to
highlight	VV	highlight
the	DT	the
following	VVG	follow
points	NNS	point
first	RB	first
when	WRB	when
addressing	VVG	address
the	DT	the
issue	NN	issue
of	IN	of
financing	NN	financing
for	IN	for
AOS	NP	AOS
it	PP	it
is	VBZ	be
important	JJ	important
to	TO	to
reflect	VV	reflect
the	DT	the
fundamental	JJ	fundamental
principle	NN	principle
of	IN	of
resolving	VVG	resolve
African	JJ	African
problems	NNS	problem
in	IN	in
African	JJ	African
ways	NNS	way
China	NP	China
has	VHZ	have
put	VVN	put
forward	RB	forward
a	DT	a
number	NN	number
of	IN	of
views	NNS	view
and	CC	and
proposals	NNS	proposal
during	IN	during
the	DT	the
consultations	NNS	consultation
which	WDT	which
have	VHP	have
been	VBN	be
positively	RB	positively
taken	VVN	take
on	IN	on
by	IN	by
the	DT	the
A3	NN	A3
we	PP	we
hope	VVP	hope
that	IN/that	that
in	IN	in
the	DT	the
future	NN	future
you	PP	you
support	VVP	support
to	TO	to
AOS	NP	AOS
will	MD	will
give	VV	give
full	JJ	full
play	NN	play
to	TO	to
the	DT	the
principle	NN	principle
of	IN	of
African	JJ	African
leadership	NN	leadership
and	CC	and
African	JJ	African
ownership	NN	ownership
ownership	NN	ownership
second	JJ	second
the	DT	the
protection	NN	protection
of	IN	of
Human	NP	Human
Rights	NPS	Rights
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
Mandate	NN	mandate
of	IN	of
peacekeeping	VVG	peacekeepe
operations	NNS	operation
and	CC	and
we	PP	we
should	MD	should
not	RB	not
have	VH	have
preconceived	VVN	preconceive
and	CC	and
biased	VVN	bias
views	NNS	view
on	IN	on
AOS	NP	AOS
the	DT	the
Cil	NP	Cil
future	NN	future
deliberations	NNS	deliberation
on	IN	on
financing	NN	financing
for	IN	for
a	DT	a
psos	NNS	psos
should	MD	should
not	RB	not
be	VB	be
linked	VVN	link
to	TO	to
human	JJ	human
right	JJ	right
rights	NNS	right
issues	NNS	issue
cooperation	NN	cooperation
between	IN	between
the	DT	the
Au	NP	Au
and	CC	and
the	DT	the
UN	NP	UN
on	IN	on
the	DT	the
issue	NN	issue
of	IN	of
funding	VVG	fund
so	RB	so
that	IN/that	that
valuable	JJ	valuable
resources	NNS	resource
can	MD	can
be	VB	be
utilized	VVN	utilize
when	WRB	when
there	EX	there
are	VBP	be
most	RBS	most
be	VB	be
needed	VVN	need
in	IN	in
Africa	NP	Africa
traditional	JJ	traditional
developed	VVN	develop
country	NN	country
donors	NNS	donor
should	MD	should
not	RB	not
reduce	VV	reduce
their	PP$	their
support	NN	support
funding	NN	funding
for	IN	for
also	RB	also
be	VB	be
considered	VVN	consider
in	IN	in
a	DT	a
holistic	JJ	holistic
manner	NN	manner
with	IN	with
operation	NN	operation
we	PP	we
support	VVP	support
the	DT	the
streamlining	NN	streamlining
and	CC	and
optimization	NN	optimization
of	IN	of
some	DT	some
of	IN	of
the	DT	the
UN	NP	UN
peacekeeping	VVG	peacekeepe
operations	NNS	operation
in	IN	in
order	NN	order
to	TO	to
avoid	VV	avoid
duplication	NN	duplication
of	IN	of
inputs	NNS	input
and	CC	and
waste	NN	waste
China	NP	China
has	VHZ	have
long	RB	long
a	DT	a
supporter	NN	supporter
of	IN	of
addressing	VVG	address
African	JJ	African
problems	NNS	problem
in	IN	in
African	JJ	African
ways	NNS	way
and	CC	and
has	VHZ	have
provided	VVN	provide
financial	JJ	financial
and	CC	and
Equipment	NN	equipment
support	NN	support
through	IN	through
bilateral	JJ	bilateral
and	CC	and
multilateral	JJ	multilateral
channels	NNS	channel
for	IN	for
the	DT	the
enhancement	NN	enhancement
of	IN	of
Africa	NP	Africa
'	POS	'
s	NN	S
autonomous	JJ	autonomous
peacekeeping	VVG	peacekeepe
capacity	NN	capacity
China	NP	China
is	VBZ	be
ready	JJ	ready
to	TO	to
work	VV	work
with	IN	with
all	DT	all
countries	NNS	country
to	TO	to
continue	VV	continue
to	TO	to
make	VV	make
greater	JJR	great
contributions	NNS	contribution
to	TO	to
maintaining	VVG	maintain
peace	NN	peace
and	CC	and
stability	NN	stability
in	IN	in
Africa	NP	Africa
I	PP	I
thank	VVP	thank
you	PP	you
Mr	NN	Mr
[	SYM	[
Music	NP	Music
]	SYM	]
President	NP	President
representative	NN	representative
of	IN	of
I	PP	I
give	VVP	give
the	DT	the
floor	NN	floor
to	TO	to
the	DT	the
Japan	NP	Japan
I	PP	I
would	MD	would
like	VV	like
to	TO	to
start	VV	start
by	IN	by
thanking	VVG	thank
and	CC	and
congratulating	VVG	congratulate
the	DT	the
A3	NP	A3
for	IN	for
their	PP$	their
initiative	NN	initiative
in	IN	in
crafting	VVG	craft
this	DT	this
important	JJ	important
resolution	NN	resolution
it	PP	it
truly	RB	truly
shows	VVZ	show
African	JJ	African
ownership	NN	ownership
Japan	NP	Japan
has	VHZ	have
voted	VVN	vote
in	IN	in
favor	NN	favor
since	IN	since
we	PP	we
believe	VVP	believe
this	DT	this
resolution	NN	resolution
will	MD	will
contribute	VV	contribute
to	TO	to
addressing	VVG	address
The	DT	the
Perennial	JJ	perennial
challenge	NN	challenge
of	IN	of
enhancing	VVG	enhance
the	DT	the
predictability	NN	predictability
sustainability	NN	sustainability
and	CC	and
flexibility	NN	flexibility
of	IN	of
financing	VVG	finance
the	DT	the
African	JJ	African
ion	NN	ion
L	NP	L
peace	NN	peace
support	NN	support
operations	NNS	operation
and	CC	and
thus	RB	thus
support	VV	support
and	CC	and
promote	VV	promote
the	DT	the
ownership	NN	ownership
of	IN	of
African	JJ	African
countries	NNS	country
in	IN	in
their	PP$	their
efforts	NNS	effort
for	IN	for
sustainable	JJ	sustainable
resolution	NN	resolution
of	IN	of
conflicts	NNS	conflict
in	IN	in
Africa	NP	Africa
from	IN	from
now	RB	now
on	IN	on
the	DT	the
council	NN	council
will	MD	will
consider	VV	consider
on	IN	on
a	DT	a
Case	NN	case
by	IN	by
case	NN	case
basis	NN	basis
requests	NNS	request
from	IN	from
the	DT	the
African	JJ	African
Union	NP	Union
peace	NN	peace
and	CC	and
Security	NP	Security
Council	NP	Council
for	IN	for
financing	VVG	finance
AUP	JJ	AUP
psos	NNS	psos
under	IN	under
chapter	NN	chapter
7	CD	@card@
and8	NN	and8
of	IN	of
the	DT	the
charter	NN	charter
to	TO	to
to	TO	to
access	VV	access
un	NNS	un
assist	VV	assist
contributions	NNS	contribution
with	IN	with
with	IN	with
certain	JJ	certain
conditions	NNS	condition
Japan	NP	Japan
fully	RB	fully
engaged	VVD	engage
in	IN	in
the	DT	the
consultations	NNS	consultation
to	TO	to
ensure	VV	ensure
that	IN/that	that
the	DT	the
establish	VV	establish
that	IN/that	that
the	DT	the
established	JJ	established
mechanism	NN	mechanism
will	MD	will
be	VB	be
rightly	RB	rightly
placed	VVN	place
in	IN	in
the	DT	the
un	NN	un
'	POS	'
s	JJ	s
collective	JJ	collective
security	NN	security
system	NN	system
and	CC	and
we	PP	we
believe	VVP	believe
the	DT	the
points	NNS	point
we	PP	we
made	VVD	make
throughout	IN	throughout
the	DT	the
process	NN	process
should	MD	should
be	VB	be
highlighted	VVN	highlight
for	IN	for
consideration	NN	consideration
and	CC	and
any	DT	any
specific	JJ	specific
authorization	NN	authorization
of	IN	of
AOS	NP	AOS
as	IN	as
well	RB	well
those	DT	those
points	NNS	point
include	VVP	include
prioritizing	JJ	prioritizing
ation	NN	ation
of	IN	of
conflict	NN	conflict
prevention	NN	prevention
and	CC	and
peaceful	JJ	peaceful
settlement	NN	settlement
of	IN	of
disputes	NNS	dispute
close	JJ	close
un	NN	un
Au	FW	Au
coordination	NN	coordination
in	IN	in
joint	JJ	joint
planning	NN	planning
mandating	VVG	mandate
appropriate	JJ	appropriate
burden	NN	burden
sharing	VVG	share
proper	JJ	proper
oversight	NN	oversight
and	CC	and
accountability	NN	accountability
and	CC	and
strict	JJ	strict
observance	NN	observance
of	IN	of
Human	NP	Human
Rights	NPS	Rights
due	JJ	due
diligence	NN	diligence
policy	NN	policy
as	RB	as
well	RB	well
as	IN	as
the	DT	the
conduct	NN	conduct
and	CC	and
discipline	NN	discipline
compliance	NN	compliance
framework	NN	framework
in	IN	in
particular	NN	particular
we	PP	we
saw	VVD	see
Divergent	JJ	divergent
views	NNS	view
at	IN	at
the	DT	the
negotiation	NN	negotiation
on	IN	on
how	WRB	how
to	TO	to
share	VV	share
the	DT	the
cost	NN	cost
between	IN	between
the	DT	the
UN	NP	UN
and	CC	and
the	DT	the
Au	FW	Au
in	IN	in
this	DT	this
regard	NN	regard
Japan	NP	Japan
proposed	VVD	propose
a	DT	a
clear	JJ	clear
language	NN	language
which	WDT	which
reflects	VVZ	reflect
au	FW	au
'	''	'
s	JJ	s
stronger	JJR	strong
ownership	NN	ownership
in	IN	in
operationalizing	VVG	operationalizing
prosp	NN	prosp
prospective	JJ	prospective
AOS	NP	AOS
this	DT	this
framework	NN	framework
resolution	NN	resolution
lays	VVZ	lay
out	RP	out
General	JJ	general
guidelines	NNS	guideline
for	IN	for
the	DT	the
future	JJ	future
course	NN	course
of	IN	of
actions	NNS	action
for	IN	for
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
and	CC	and
the	DT	the
aupo	NN	aupo
aupc	NN	aupc
the	DT	the
detailed	JJ	detailed
needs	NNS	need
to	TO	to
be	VB	be
elaborated	VVN	elaborate
further	RBR	further
in	IN	in
case	NN	case
in	IN	in
each	DT	each
case	NN	case
of	IN	of
authorization	NN	authorization
of	IN	of
an	DT	an
aupo	NN	aupo
including	VVG	include
an	DT	an
appropriate	JJ	appropriate
burden	NN	burden
sharing	VVG	share
model	NN	model
we	PP	we
remain	VVP	remain
committed	VVN	commit
to	TO	to
further	JJR	further
consultations	NNS	consultation
with	IN	with
all	DT	all
stakeholders	NNS	stakeholder
on	IN	on
possible	JJ	possible
assistance	NN	assistance
to	TO	to
Apsos	NP	Apsos
I	PP	I
thank	VVP	thank
for	IN	for
United	NP	United
Arab	NP	Arab
Emirates	NPS	Emirates
Mr	NP	Mr
President	NP	President
the	DT	the
United	NP	United
Arab	NP	Arab
Emirates	NPS	Emirates
welcomes	VVZ	welcome
today	NN	today
'	POS	'
s	JJ	s
unanimous	JJ	unanimous
ad	NN	ad
adoption	NN	adoption
of	IN	of
Security	NP	Security
Council	NP	Council
resolution	NN	resolution
2719	CD	@card@
we	PP	we
joined	VVD	join
our	PP$	our
A3	JJ	A3
colleagues	NNS	colleague
in	IN	in
support	NN	support
of	IN	of
this	DT	this
resolution	NN	resolution
because	IN	because
it	PP	it
marks	VVZ	mark
an	DT	an
historic	JJ	historic
milestone	NN	milestone
in	IN	in
our	PP$	our
Collective	JJ	collective
pursuit	NN	pursuit
of	IN	of
Global	JJ	global
Peace	NN	peace
and	CC	and
security	NN	security
throughout	IN	throughout
this	DT	this
process	NN	process
the	DT	the
UAE	NP	UAE
has	VHZ	have
stood	VVN	stand
firmly	RB	firmly
in	IN	in
support	NN	support
of	IN	of
the	DT	the
African	JJ	African
position	NN	position
and	CC	and
our	PP$	our
vote	NN	vote
in	IN	in
favor	NN	favor
of	IN	of
today	NN	today
'	POS	'
s	NN	S
amendment	NN	amendment
was	VBD	be
to	TO	to
ensure	VV	ensure
that	IN/that	that
the	DT	the
resolution	NN	resolution
could	MD	could
ultimately	RB	ultimately
be	VB	be
adopted	VVN	adopt
this	DT	this
resolution	NN	resolution
breaks	VVZ	break
new	JJ	new
ground	NN	ground
and	CC	and
sign	NN	sign
ifies	NNS	ifies
a	DT	a
pivotal	JJ	pivotal
shift	NN	shift
in	IN	in
the	DT	the
collaborative	JJ	collaborative
efforts	NNS	effort
between	IN	between
the	DT	the
African	NP	African
Union	NP	Union
and	CC	and
the	DT	the
United	NP	United
Nations	NPS	Nations
by	IN	by
agreeing	VVG	agree
to	TO	to
consider	VV	consider
on	IN	on
a	DT	a
case	NN	case
-	NN	-
by	IN	by
casee	NN	casee
basis	NN	basis
requests	NNS	request
from	IN	from
the	DT	the
Au	NP	Au
peace	NN	peace
and	CC	and
Security	NP	Security
Council	NP	Council
seeking	VVG	seek
authorization	NN	authorization
for	IN	for
aued	JJ	aued
peace	NN	peace
support	NN	support
operations	NNS	operation
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
has	VHZ	have
demonstrated	VVN	demonstrate
in	IN	in
action	NN	action
what	WP	what
it	PP	it
has	VHZ	have
articulated	VVN	articulate
in	IN	in
words	NNS	word
many	JJ	many
times	NNS	time
over	IN	over
Regional	JJ	regional
solutions	NNS	solution
for	IN	for
regional	JJ	regional
challenges	NNS	challenge
the	DT	the
historic	JJ	historic
adoption	NN	adoption
today	NN	today
demonstrates	VVZ	demonstrate
the	DT	the
growing	VVG	grow
recognition	NN	recognition
of	IN	of
the	DT	the
African	NP	African
Union	NP	Union
'	POS	'
s	JJ	s
role	NN	role
as	IN	as
a	DT	a
key	JJ	key
partner	NN	partner
and	CC	and
its	PP$	its
capacity	NN	capacity
to	TO	to
lead	VV	lead
peace	NN	peace
support	NN	support
operations	NNS	operation
on	IN	on
the	DT	the
African	JJ	African
continent	JJ	continent
aued	JJ	aued
peace	NN	peace
support	NN	support
operations	NNS	operation
are	VBP	be
critical	JJ	critical
by	IN	by
recognizing	VVG	recognize
the	DT	the
pressing	VVG	press
need	NN	need
for	IN	for
Collective	JJ	collective
action	NN	action
in	IN	in
addressing	VVG	address
complex	JJ	complex
security	NN	security
challenges	VVZ	challenge
this	DT	this
resolution	NN	resolution
underscores	VVZ	underscore
the	DT	the
imperative	NN	imperative
for	IN	for
a	DT	a
robust	JJ	robust
and	CC	and
sustainable	JJ	sustainable
Financial	JJ	financial
mechanism	NN	mechanism
to	TO	to
support	VV	support
the	DT	the
au	FW	au
'	POS	'
s	NN	S
efforts	NNS	effort
towards	IN	towards
the	DT	the
prevention	NN	prevention
management	NN	management
and	CC	and
resolution	NN	resolution
of	IN	of
conflicts	NNS	conflict
on	IN	on
the	DT	the
continent	NN	continent
empowering	VVG	empower
the	DT	the
Au	FW	Au
in	IN	in
this	DT	this
endeavor	NN	endeavor
is	VBZ	be
a	DT	a
Strategic	JJ	strategic
investment	NN	investment
in	IN	in
the	DT	the
global	JJ	global
pursuit	NN	pursuit
of	IN	of
peace	NN	peace
and	CC	and
Security	NN	security
in	IN	in
Africa	NP	Africa
I	PP	I
extend	VVP	extend
my	PP$	my
sincere	JJ	sincere
congratulations	NNS	congratulation
to	TO	to
the	DT	the
African	NP	African
Union	NP	Union
its	PP$	its
member	NN	member
states	NNS	state
and	CC	and
all	PDT	all
those	DT	those
who	WP	who
have	VHP	have
worked	VVN	work
tirelessly	RB	tirelessly
towards	IN	towards
this	DT	this
groundbreaking	JJ	groundbreaking
achievement	NN	achievement
it	PP	it
is	VBZ	be
our	PP$	our
hope	NN	hope
that	IN/that	that
this	DT	this
resolution	NN	resolution
serves	VVZ	serve
as	IN	as
a	DT	a
catalyst	NN	catalyst
for	IN	for
continued	JJ	continued
partnership	NN	partnership
in	IN	in
Seeking	VVG	seek
a	DT	a
more	RBR	more
peaceful	JJ	peaceful
and	CC	and
prosperous	JJ	prosperous
future	NN	future
for	IN	for
the	DT	the
peoples	NNS	people
of	IN	of
Africa	NP	Africa
thank	VV	thank
you	PP	you
Mr	NP	Mr
President	NP	President
than	IN	than
the	DT	the
representative	NN	representative
of	IN	of
the	DT	the
United	NP	United
Arab	NP	Arab
Emirates	NPS	Emirates
for	IN	for
the	DT	the
floor	NN	floor
to	TO	to
the	DT	the
representative	NN	representative
of	IN	of
the	DT	the
Russian	NP	Russian
Federation	NP	Federation
thank	VVP	thank
you	PP	you
Mr	NN	Mr
presid	NN	presid
Russian	JJ	Russian
framework	NN	framework
draft	NN	draft
resolution	NN	resolution
of	IN	of
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
on	IN	on
the	DT	the
financing	NN	financing
of	IN	of
Union	NP	Union
L	NP	L
peacekeeping	VVG	peacekeepe
operations	NNS	operation
we	PP	we
are	VBP	be
consistent	JJ	consistent
in	IN	in
our	PP$	our
support	NN	support
the	DT	the
independent	JJ	independent
efforts	NNS	effort
of	IN	of
afrian	JJ	afrian
stat	NN	stat
main	JJ	main
peace	NN	peace
and	CC	and
security	NN	security
on	IN	on
continent	JJ	continent
Progressive	JJ	Progressive
development	NN	development
ofation	NN	ofation
between	IN	between
the	DT	the
United	NP	United
Nations	NPS	Nations
in	IN	in
the	DT	the
African	JJ	African
Union	NN	union
and	CC	and
sub	VV	sub
Regional	JJ	regional
organizations	NNS	organization
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
the	DT	the
principle	NN	principle
African	JJ	African
solu	NN	solu
for	IN	for
problem	NN	problem
the	DT	the
Russian	NP	Russian
Federation	NP	Federation
voted	VVD	vote
in	IN	in
favor	NN	favor
of	IN	of
this	DT	this
resolution	NN	resolution
because	IN	because
we	PP	we
are	VBP	be
convinced	VVN	convince
that	IN/that	that
key	JJ	key
to	TO	to
the	DT	the
success	NN	success
of	IN	of
African	JJ	African
operations	NNS	operation
is	VBZ	be
a	DT	a
sober	JJ	sober
assessment	NN	assessment
by	IN	by
the	DT	the
countries	NNS	country
of	IN	of
the	DT	the
region	NN	region
of	IN	of
existing	VVG	exist
threats	NNS	threat
and	CC	and
ways	NNS	way
of	IN	of
addressing	VVG	address
