interrupt	VV	interrupt
to	TO	to
close	VV	close
down	RP	down
his	PP$	his
decision	NN	decision
space	NN	space
as	IN	as
satisfying	VVG	satisfy
as	IN	as
that	WDT	that
may	MD	may
be	VB	be
for	IN	for
some	DT	some
of	IN	of
you	PP	you
I	PP	I
can	MD	can
'	''	'
t	NN	t
do	VVP	do
that	IN/that	that
but	CC	but
he	PP	he
made	VVD	make
it	PP	it
very	RB	very
clear	JJ	clear
that	IN/that	that
we	PP	we
need	VVP	need
to	TO	to
see	VV	see
some	DT	some
changes	NNS	change
on	IN	on
the	DT	the
Israeli	JJ	Israeli
side	NN	side
I	PP	I
want	VVP	want
to	TO	to
ask	VV	ask
you	PP	you
about	RB	about
very	RB	very
disturbing	JJ	disturbing
investigative	JJ	investigative
report	NN	report
by	IN	by
an	DT	an
Israeli	JJ	Israeli
journalist	NN	journalist
who	WP	who
said	VVD	say
that	DT	that
uh	UH	uh
is	VBZ	be
the	DT	the
White	NP	White
House	NP	House
aware	JJ	aware
of	IN	of
an	DT	an
AI	NN	ai
program	NN	program
called	VVD	call
lavender	NN	lavender
that	RB	that
'	POS	'
s	RB	s
been	VBN	be
used	VVN	use
by	IN	by
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
to	TO	to
Target	NP	Target
operative	NN	operative
in	IN	in
Gaza	NP	Gaza
in	IN	in
what	WP	what
they	PP	they
called	VVD	call
a	DT	a
Kill	NP	Kill
Zone	NP	Zone
where	WRB	where
this	DT	this
program	NN	program
has	VHZ	have
only	RB	only
20	CD	@card@
seconds	NNS	second
of	IN	of
human	JJ	human
supervision	NN	supervision
and	CC	and
it	PP	it
Leed	NP	Leed
to	TO	to
the	DT	the
death	NN	death
of	IN	of
thousands	NNS	thousand
of	IN	of
women	NNS	woman
and	CC	and
children	NNS	child
in	IN	in
Gaza	NP	Gaza
do	VVP	do
you	PP	you
think	VVP	think
are	VBP	be
you	PP	you
aware	JJ	aware
of	IN	of
it	PP	it
number	NN	number
one	CD	one
and	CC	and
second	RB	second
does	VVZ	do
the	DT	the
White	NP	White
House	NP	House
believe	VVP	believe
that	IN/that	that
AI	NN	ai
can	MD	can
be	VB	be
used	VVN	use
in	IN	in
this	DT	this
way	NN	way
without	IN	without
supervision	NN	supervision
I	NP	I
'	POS	'
m	NN	m
not	RB	not
aware	JJ	aware
of	IN	of
it	PP	it
you	PP	you
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
have	VH	have
to	TO	to
let	VV	let
me	PP	me
take	VV	take
that	WDT	that
question	VVP	question
we	PP	we
'	''	'
ll	NNS	ll
get	VVP	get
back	RB	back
to	TO	to
you	PP	you
thank	VVP	thank
you	PP	you
so	RB	so
much	JJ	much
John	NP	John
I	NP	I
'	POS	'
m	NN	m
going	VVG	go
to	TO	to
start	VV	start
with	IN	with
the	DT	the
trilateral	JJ	trilateral
summit	NN	summit
then	RB	then
I	NP	I
'	POS	'
m	NN	m
going	VVG	go
to	TO	to
move	VV	move
on	IN	on
to	TO	to
Rhonda	NP	Rhonda
first	JJ	first
of	IN	of
all	DT	all
uh	UH	uh
looking	VVG	look
ahead	RB	ahead
to	TO	to
the	DT	the
trilateral	JJ	trilateral
summit	NN	summit
next	JJ	next
week	NN	week
what	WP	what
are	VBP	be
some	DT	some
of	IN	of
the	DT	the
priorities	NNS	priority
and	CC	and
we	PP	we
recently	RB	recently
heard	VVD	hear
the	DT	the
Filipino	NP	Filipino
Ambassador	NP	Ambassador
say	VVP	say
that	IN/that	that
the	DT	the
US	NP	US
Japan	NP	Japan
and	CC	and
the	DT	the
Philippines	NPS	Philippine
are	VBP	be
going	VVG	go
to	TO	to
start	VV	start
joint	JJ	joint
Patrols	NNS	patrol
in	IN	in
the	DT	the
South	NP	South
China	NP	China
see	VVP	see
very	RB	very
soon	RB	soon
can	MD	can
you	PP	you
confirm	VV	confirm
that	IN/that	that
and	CC	and
give	VV	give
us	PP	us
any	DT	any
details	NNS	detail
I	PP	I
believe	VVP	believe
the	DT	the
Pentagon	NP	Pentagon
will	MD	will
have	VH	have
more	JJR	more
to	TO	to
say	VV	say
about	RB	about
that	IN/that	that
this	DT	this
afternoon	NN	afternoon
uh	UH	uh
okay	VV	okay
uh	UH	uh
you	PP	you
have	VHP	have
been	VBN	be
listening	VVG	listen
to	TO	to
John	NP	John
Kirby	NP	Kirby
he	PP	he
is	VBZ	be
the	DT	the
US	NP	US
National	NP	National
Security	NP	Security
Council	NP	Council
spokesman	NN	spokesman
uh	UH	uh
he	PP	he
is	VBZ	be
the	DT	the
one	CD	one
who	WP	who
is	VBZ	be
often	RB	often
the	DT	the
face	NN	face
of	IN	of
the	DT	the
administration	NN	administration
on	IN	on
uh	UH	uh
many	JJ	many
of	IN	of
the	DT	the
Gaza	NP	Gaza
Israel	NP	Israel
questions	NNS	question
by	IN	by
the	DT	the
media	NNS	medium
and	CC	and
he	PP	he
was	VBD	be
just	RB	just
briefing	VVG	brief
the	DT	the
White	NP	White
House	NP	House
Press	NP	Press
Corps	NP	Corps
following	VVG	follow
the	DT	the
phone	NN	phone
call	NN	call
between	IN	between
Joe	NP	Joe
Biden	NP	Biden
and	CC	and
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
so	IN	so
this	DT	this
is	VBZ	be
kind	NN	kind
of	IN	of
how	WRB	how
these	DT	these
things	NNS	thing
work	NN	work
let	VVD	let
'	''	'
s	NNS	s
bring	VVP	bring
in	IN	in
uh	UH	uh
M	NP	M
director	NN	director
of	IN	of
the	DT	the
gulf	NN	gulf
studies	NNS	study
Center	NP	Center
at	IN	at
Qatar	NP	Qatar
University	NP	University
I	PP	I
was	VBD	be
saying	VVG	say
it	PP	it
'	POS	'
s	NN	S
how	WRB	how
these	DT	these
things	NNS	thing
work	VVP	work
usually	RB	usually
step	VV	step
one	PP	one
you	PP	you
get	VVP	get
the	DT	the
read	VVP	read
you	PP	you
get	VV	get
the	DT	the
headline	NN	headline
right	NN	right
what	WP	what
did	VVD	do
the	DT	the
two	CD	two
leaders	NNS	leader
say	VVP	say
and	CC	and
then	RB	then
step	NN	step
two	CD	two
you	PP	you
get	VVP	get
the	DT	the
media	NN	media
gets	VVZ	get
briefed	VVN	brief
and	CC	and
you	PP	you
kind	RB	kind
of	IN	of
get	VV	get
the	DT	the
explanation	NN	explanation
yes	UH	yes
uh	UH	uh
the	DT	the
official	JJ	official
version	NN	version
of	IN	of
the	DT	the
explanation	NN	explanation
behind	IN	behind
the	DT	the
headlines	NNS	headline
would	MD	would
you	PP	you
make	VV	make
of	IN	of
everything	NN	everything
we	PP	we
'	POS	'
ve	NN	ve
just	RB	just
heard	VVN	hear
in	IN	in
previous	JJ	previous
phone	NN	phone
calls	VVZ	call
um	NNS	um
the	DT	the
me	PP	me
this	DT	this
kind	NN	kind
of	IN	of
press	NN	press
conference	NN	conference
used	VVN	use
to	TO	to
explain	VV	explain
what	WP	what
happened	VVD	happen
and	CC	and
sometime	RB	sometime
def	NN	def
minimize	VV	minimize
the	DT	the
level	NN	level
of	IN	of
yeah	RB	yeah
the	DT	the
statement	NN	statement
or	CC	or
the	DT	the
discussion	NN	discussion
saying	VVG	say
you	PP	you
know	VVP	know
it	PP	it
wasn	NN	wasn
'	POS	'
t	NN	t
as	IN	as
being	VBG	be
reflected	VVN	reflect
in	IN	in
the	DT	the
media	NNS	medium
what	WP	what
I	PP	I
noticed	VVD	notice
that	IN/that	that
the	DT	the
language	NN	language
used	VVN	use
by	IN	by
the	DT	the
spokeperson	NN	spokeperson
is	VBZ	be
actually	RB	actually
reflecting	VVG	reflect
to	TO	to
some	DT	some
extent	NN	extent
what	WP	what
'	POS	'
s	RB	s
been	VBN	be
basically	RB	basically
leaked	VVN	leak
in	IN	in
the	DT	the
last	JJ	last
uh	UH	uh
two	CD	two
hours	NNS	hour
uh	UH	uh
as	RB	as
we	PP	we
would	MD	would
talk	VV	talk
you	PP	you
know	VV	know
talk	VVP	talk
about	RB	about
change	VV	change
the	DT	the
Israeli	JJ	Israeli
commitment	NN	commitment
you	PP	you
know	VVP	know
the	DT	the
Israelis	NPS	Israelis
you	PP	you
know	VVP	know
that	IN/that	that
'	POS	'
s	NN	S
that	RB	that
'	POS	'
s	NNS	s
a	DT	a
word	NN	word
we	PP	we
heard	VVD	hear
a	DT	a
lot	NN	lot
there	RB	there
needs	VVZ	need
to	TO	to
be	VB	be
changed	VVN	change
there	RB	there
need	VVP	need
to	TO	to
be	VB	be
changed	VVN	change
and	CC	and
and	CC	and
that	DT	that
that	WDT	that
'	POS	'
s	NN	S
that	RB	that
'	POS	'
s	NN	S
something	NN	something
new	JJ	new
previously	RB	previously
uh	UH	uh
you	PP	you
know	VVP	know
the	DT	the
spokesperson	NN	spokesperson
of	IN	of
the	DT	the
White	NP	White
House	NP	House
SP	NP	SP
National	NP	National
Security	NP	Security
or	CC	or
or	CC	or
the	DT	the
Department	NP	Department
of	IN	of
State	NP	State
they	PP	they
used	VVD	use
to	TO	to
diffuse	VV	diffuse
the	DT	the
the	DT	the
level	NN	level
of	IN	of
the	DT	the
strength	NN	strength
of	IN	of
that	DT	that
statut	NN	statut
now	RB	now
we	PP	we
see	VV	see
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
consistent	JJ	consistent
at	IN	at
least	JJS	least
now	RB	now
we	PP	we
are	VBP	be
about	RB	about
3	CD	@card@
hours	NNS	hour
the	DT	the
the	DT	the
the	DT	the
statement	NN	statement
Washington	NP	Washington
are	VBP	be
consistent	JJ	consistent
that	IN/that	that
itself	PP	itself
telling	VVG	tell
yeah	RB	yeah
it	PP	it
'	''	'
s	VVG	s
their	PP$	their
way	NN	way
of	IN	of
of	IN	of
of	IN	of
um	JJ	um
sort	NN	sort
of	IN	of
nudging	VVG	nudge
uh	UH	uh
how	WRB	how
the	DT	the
media	NNS	medium
is	VBZ	be
going	VVG	go
to	TO	to
frame	VV	frame
a	DT	a
certain	JJ	certain
event	NN	event
and	CC	and
this	DT	this
time	NN	time
as	IN	as
you	PP	you
say	VVP	say
sometimes	RB	sometimes
they	PP	they
'	POS	'
ll	NNS	ll
dial	VV	dial
it	PP	it
back	VV	back
they	PP	they
'	POS	'
ll	NNS	ll
modulate	VVP	modulate
what	WP	what
the	DT	the
headline	NN	headline
says	VVZ	say
this	DT	this
time	NN	time
they	PP	they
'	POS	'
re	NN	re
saying	VVG	say
no	UH	no
no	UH	no
no	UH	no
you	PP	you
read	VVP	read
this	DT	this
right	JJ	right
yes	UH	yes
the	DT	the
US	NP	US
president	NN	president
essentially	RB	essentially
excoriated	VVD	excoriate
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
and	CC	and
he	PP	he
told	VVD	tell
him	PP	him
you	PP	you
have	VHP	have
got	VVN	get
to	TO	to
change	VV	change
something	NN	something
now	RB	now
he	PP	he
was	VBD	be
asked	VVN	ask
on	IN	on
a	DT	a
timeline	NN	timeline
by	IN	by
when	WRB	when
do	VVP	do
these	DT	these
changes	NNS	change
need	VVP	need
to	TO	to
happen	VV	happen
he	PP	he
said	VVD	say
hours	NNS	hour
or	CC	or
days	NNS	day
correct	VVP	correct
and	CC	and
and	CC	and
to	TO	to
to	RB	to
to	TO	to
lengthen	VV	lengthen
that	IN/that	that
this	DT	this
the	DT	the
the	DT	the
reflection	NN	reflection
in	IN	in
the	DT	the
Israeli	JJ	Israeli
media	NNS	medium
they	PP	they
talk	VVP	talk
about	RB	about
what	WP	what
Netanyahu	NP	Netanyahu
commitment	NN	commitment
to	TO	to
Biden	NP	Biden
in	IN	in
that	DT	that
phone	NN	phone
call	NN	call
it	PP	it
seems	VVZ	seem
that	IN/that	that
there	EX	there
were	VBD	be
list	NN	list
of	IN	of
things	NNS	thing
Netanyahu	NP	Netanyahu
was	VBD	be
asked	VVN	ask
he	PP	he
um	RB	um
gave	VVD	give
a	DT	a
promise	NN	promise
that	IN/that	that
this	DT	this
will	MD	will
happen	VV	happen
and	CC	and
now	RB	now
the	DT	the
Israeli	JJ	Israeli
media	NNS	medium
they	PP	they
talked	VVD	talk
about	RB	about
you	PP	you
know	VVP	know
they	PP	they
Tred	JJ	Tred
to	TO	to
um	RB	um
predict	VV	predict
what	WP	what
are	VBP	be
these	DT	these
kind	NN	kind
of	IN	of
commitments	NNS	commitment
you	PP	you
know	VVP	know
and	CC	and
and	CC	and
they	PP	they
put	VVD	put
the	DT	the
same	JJ	same
question	NN	question
you	PP	you
have	VHP	have
said	VVN	say
for	IN	for
how	WRB	how
long	RB	long
and	CC	and
when	WRB	when
when	WRB	when
do	VVP	do
we	PP	we
expect	VVP	expect
this	DT	this
to	TO	to
happen	VV	happen
yeah	RB	yeah
it	PP	it
seems	VVZ	seem
that	IN/that	that
I	PP	I
mean	VVP	mean
looking	VVG	look
at	IN	at
the	DT	the
language	NN	language
used	VVN	use
by	IN	by
the	DT	the
White	NP	White
House	NP	House
so	RB	so
far	RB	far
it	PP	it
seems	VVZ	seem
things	NNS	thing
that	IN/that	that
these	DT	these
days	NNS	day
and	CC	and
and	CC	and
hours	NNS	hour
maybe	RB	maybe
yeah	RB	yeah
and	CC	and
and	CC	and
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
fair	JJ	fair
to	TO	to
say	VV	say
when	WRB	when
the	DT	the
White	NP	White
House	NP	House
puts	VVZ	put
out	IN	out
messaging	VVG	message
like	IN	like
this	DT	this
then	RB	then
then	RB	then
um	JJ	um
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
the	DT	the
counterpart	NN	counterpart
is	VBZ	be
going	VVG	go
to	TO	to
have	VH	have
to	TO	to
give	VV	give
something	NN	something
yeah	RB	yeah
and	CC	and
there	EX	there
'	''	'
s	VVG	s
another	DT	another
interesting	JJ	interesting
thing	NN	thing
it	PP	it
'	POS	'
s	NN	S
talks	NNS	talk
talking	VVG	talk
about	IN	about
media	NNS	medium
seiz	NN	seiz
fire	NN	fire
that	WDT	that
is	VBZ	be
also	RB	also
was	VBD	be
was	VBD	be
was	VBD	be
was	VBD	be
was	VBD	be
mentioned	VVN	mention
to	TO	to
improve	VV	improve
the	DT	the
humanitarian	JJ	humanitarian
thing	NN	thing
that	WDT	that
is	VBZ	be
a	DT	a
new	JJ	new
language	NN	language
and	CC	and
immediate	JJ	immediate
seize	VVP	seize
fire	NN	fire
to	TO	to
prove	VV	prove
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
okay	NN	okay
I	PP	I
have	VHP	have
to	TO	to
run	VV	run
uh	UH	uh
there	EX	there
'	''	'
s	NN	S
so	IN	so
much	JJ	much
news	NN	news
to	TO	to
get	VV	get
to	TO	to
but	CC	but
thank	VV	thank
you	PP	you
so	RB	so
much	JJ	much
mry	NN	mry
for	IN	for
joining	VVG	join
us	PP	us
in	IN	in
the	DT	the
studio	NN	studio
