<video_id>XFe4kFA1_rM</video_id>	JJ	<video_id>XFe4kFA1_rM</video_id>
country	NN	country
this	DT	this
is	VBZ	be
also	RB	also
an	DT	an
indication	NN	indication
that	IN/that	that
the	DT	the
the	DT	the
trust	NN	trust
in	IN	in
the	DT	the
political	JJ	political
leadership	NN	leadership
and	CC	and
the	DT	the
trust	NN	trust
in	IN	in
the	DT	the
defense	NN	defense
uh	UH	uh
system	NN	system
has	VHZ	have
crumbled	VVN	crumble
somehow	RB	somehow
uh	UH	uh
since	IN	since
over	IN	over
the	DT	the
past	JJ	past
uh	UH	uh
week	NN	week
and	CC	and
that	IN/that	that
many	JJ	many
people	NNS	people
now	RB	now
prefer	VVP	prefer
to	TO	to
leave	VV	leave
the	DT	the
country	NN	country
which	WDT	which
is	VBZ	be
something	NN	something
that	IN/that	that
hasn't	NN	hasn't
happened	VVN	happen
in	IN	in
previous	JJ	previous
Wars	NNS	war
granted	VVD	grant
this	DT	this
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
much	RB	much
bigger	JJR	big
War	NP	War
there's	NNS	there's
going	VVG	go
to	TO	to
be	VB	be
probably	RB	probably
a	DT	a
land	NN	land
Invasion	NN	invasion
Israel	NP	Israel
could	MD	could
come	VV	come
under	IN	under
more	JJR	more
rocket	NN	rocket
fire	NN	fire
not	RB	not
only	RB	only
from	IN	from
Gaza	NP	Gaza
but	CC	but
also	RB	also
from	IN	from
uh	UH	uh
Lebanon	NP	Lebanon
if	IN	if
that	WDT	that
is	VBZ	be
the	DT	the
case	NN	case
but	CC	but
it's	NN	it's
something	NN	something
that	IN/that	that
Israelis	NNS	Israeli
were	VBD	be
used	VVN	use
to	TO	to
um	NNS	um
that	IN/that	that
they	PP	they
knew	VVD	know
how	WRB	how
to	TO	to
cope	VV	cope
and	CC	and
they	PP	they
trusted	VVD	trust
blindly	RB	blindly
their	PP$	their
uh	UH	uh
security	NN	security
apparatus	NN	apparatus
they	PP	they
trusted	VVD	trust
blindly	RB	blindly
that	DT	that
military	NN	military
that	WDT	that
has	VHZ	have
somehow	RB	somehow
crumbled	VVN	crumble
that	WDT	that
is	VBZ	be
breached	VVN	breach
and	CC	and
that	DT	that
is	VBZ	be
something	NN	something
that	IN/that	that
the	DT	the
the	DT	the
people	NNS	people
are	VBP	be
still	RB	still
coming	VVG	come
to	TO	to
grasp	VV	grasp
with	IN	with
and	CC	and
it's	NNS	it's
something	NN	something
think	VVP	think
probably	RB	probably
the	DT	the
prime	JJ	prime
minister	NN	minister
is	VBZ	be
aware	JJ	aware
of	IN	of
but	CC	but
doesn't	NN	doesn't
understand	VVP	understand
the	DT	the
extent	NN	extent
of	IN	of
the	DT	the
breach	NN	breach
that	WDT	that
has	VHZ	have
happened	VVN	happen
there	RB	there
between	IN	between
him	PP	him
and	CC	and
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
public	JJ	public
okay	NN	okay
thank	VV	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
that	DT	that
H	NN	H
we	PP	we
really	RB	really
do	VVP	do
appreciate	VV	appreciate
it	PP	it
that	WDT	that
is	VBZ	be
H	NP	H
abdalhamid	NN	abdalhamid
who	WP	who
is	VBZ	be
outside	IN	outside
the	DT	the
knesset	NN	Knesset
in	IN	in
West	NP	West
Jerusalem	NP	Jerusalem
</doc>	NN	</doc>
